req_id,cost_type,cost_amount,incurred_at
R1009,Adveertising,5770.64,2024-03-30
R1068,Recruiter time,6703.64,2024-11-28
R1057,Assessment Tools,1553.05,2024-04-30
R1060,assessment tools,1462.3,2024-02-27
R1140,Agency Fee,3317.61,2024-03-21
R1145,RECRUITER TIME,4281.52,2024-09-20
R1012,Assessment tools,1591.93,2024-03-03
R1011,Advertising,1725.38,2024-03-30
R1000,advertising,5625.82,2024-07-16
R1118,Ageency Fee,1182.53,2024-01-16
R1130,Assessment Tools,5804.47,2024-03-03
R1002,assessment tools,6597.29,2024-04-06
R1095,agency fee,2523.48,2024-04-30
R1141,Referral Bonus ,5304.04,2024-11-24
R1021,Assessment Tools,6353.5,2024-05-21
R1107,ASSESSMENT TOOLS,1801.4,2024-06-07
R1104,Assessment Tools ,6706.84,2024-02-20
R1008,Advertising,5946.68,2024-01-09
R1117,AGENCY FEE,327.01,2024-05-22
R1084,Asseessment Tools,3669.02,2024-02-08
R1084,Advertising,3656.52,2024-12-08
R1099, Agency Fee,1008.61,2024-01-07
R1100, Referral Bonus,6979.78,2024-12-28
R1023, Recruiter Time,312.21,2024-08-16
R1138,referral bonus,3370.94,2024-10-29
R1068,Assessment Tools,623.07,2024-11-10
R1003,Referral bonus,3610.2,2024-10-07
R1051,REFERRAL BONUS,3209.99,2024-10-17
R1144,Asseessment Tools,1526.65,2024-11-06
R1117,Advertising,4457.5,2024-10-12
R1142,assessment tools,3938.08,2024-12-15
R1124,assessment tools,3103.45,2024-07-08
R1109,Recruiter Time ,3792.21,2024-02-09
R1145,Ageency Fee,479.98,2024-10-31
R1060,Recruiter Time,7563.16,2024-03-08
R1110,Referraal Bonus,6839.38,2024-11-19
R1133,ASSESSMENT TOOLS,3227.08,2024-06-03
R1020,Assessment Tools,6160.1,2024-10-19
R1094,recruiter time,6336.53,2024-07-03
R1085,Assessment Tools ,7780.67,2024-03-01
R1117,Agency Fee,2539.06,2024-02-16
R1035, Agency Fee,3265.24,2024-04-04
R1019,ADVERTISING,2458.55,2024-11-07
R1103,Reecruiter Time,2350.29,2024-03-24
R1036,Assessment Tools,2873.86,2024-10-27
R1019,Agency Fee,6545.95,2024-05-15
R1093,REFERRAL BONUS,1110.32,2024-10-10
R1088,Referral Bonus ,4043.02,2024-01-24
R1081,AGENCY FEE,322.22,2024-10-22
R1036,Recruiter Time ,4126.48,2024-01-01
R1147,Advertising,787.94,2024-07-23
R1056,Reeferral Bonus,2418.34,2024-01-28
R1117,Recruiter time,6670.06,2024-05-22
R1120,RECRUITER TIME,7380.48,2024-11-08
R1083,Referral Bonus,749.76,2024-09-05
R1133,ASSESSMENT TOOLS,1539.07,2024-05-14
R1115,recruiter time,1349.12,2024-08-02
R1018,Agency Fee ,348.1,2024-02-03
R1015,Referral Bonus,1004.29,2024-10-21
R1095,ADVERTISING,6797.57,2024-02-25
R1022,REFERRAL BONUS,3591.01,2024-01-23
R1092,Recruiter Time,709.95,2024-10-18
R1034,Recruiter Time,552.78,2024-02-06
R1110,Assessment Tools ,5539.74,2024-01-03
R1123,referral bonus,7054.88,2024-10-20
R1079,Assessment Tools ,5683.28,2024-04-26
R1036,Assessment Tools,3481.67,2024-10-11
R1146,Reecruiter Time,2953.53,2024-10-31
R1065,Referraal Bonus,6198.13,2024-07-30
R1022,ASSESSMENT TOOLS,7826.01,2024-04-13
R1079,assessment tools,1941.77,2024-02-06
R1009,Referral Bonus ,649.61,2024-06-29
R1143,Asseessment Tools,2007.7,2024-04-03
R1017, Agency Fee,1942.69,2024-07-03
R1112,Referral bonus,2897.94,2024-03-18
R1107,Assessment Tools,3423.36,2024-05-19
R1139,Agency Fee,6039.06,2024-08-17
R1049,Assessment tools,7920.89,2024-05-08
R1076,Assessment tools,4513.15,2024-03-31
R1081,Reecruiter Time,7392.76,2024-11-18
R1076,AGENCY FEE,4459.48,2024-06-18
R1085,Advertising,6585.54,2024-05-21
R1012,Agency Fee ,3757.19,2024-06-20
R1090,Advertising ,7699.09,2024-03-22
R1052,ASSESSMENT TOOLS,5914.74,2024-01-05
R1008,Assessment Tools ,7247.81,2024-06-15
R1027,Advertising,5142.87,2024-06-07
R1007,assessment tools,7149.02,2024-02-21
R1021,Advertising,6297.6,2024-07-17
R1024,Assessment Tools,1395.9,2024-05-31
R1113,Agency Fee,5587.88,2024-03-31
R1043,Adveertising,5821.57,2024-07-08
R1059, Referral Bonus,5679.47,2024-02-12
R1045,advertising,5434.83,2024-04-03
R1112,Referral Bonus ,7013.81,2024-01-31
R1002,Reecruiter Time,6148.51,2024-12-24
R1012,Advertising ,1154.65,2024-04-19
R1046, Referral Bonus,3689.19,2024-11-12
R1086,Advertising,2475.4,2024-09-09
R1025,Agency fee,6802.84,2024-08-25
R1140,Advertising ,5753.89,2024-10-29
R1093,Advertising,5431.49,2024-02-03
R1012,Adveertising,2516.41,2024-12-12
R1055,Referral Bonus,1865.13,2024-10-23
R1030, Advertising,2981.22,2024-01-17
R1054,Agency Fee,4199.91,2024-12-23
R1072,advertising,4479.26,2024-11-16
R1024,Recruiter Time ,7079.85,2024-11-11
R1044,Assessment Tools ,2965.03,2024-05-04
R1095,Assessment Tools ,1428.11,2024-07-04
R1099,Advertising,756.8,2024-09-06
R1145,Assessment Tools,5259.76,2024-07-22
R1146,Agency Fee,867.4,2024-07-17
R1112, Agency Fee,639.48,2024-12-22
R1061, Agency Fee,5646.79,2024-03-05
R1055, Recruiter Time,2662.03,2024-12-23
R1095,Recruiter Time,321.4,2024-09-08
R1117,AGENCY FEE,2873.14,2024-01-05
R1055,Recruiter Time ,6679.01,2024-02-07
R1126,Reecruiter Time,2710.9,2024-03-07
R1100, Recruiter Time,1114.41,2024-10-02
R1065,Recruiter Time,5133.57,2024-12-04
R1146,Recruiter time,6377.43,2024-06-06
R1084,advertising,417.3,2024-01-17
R1146,Adveertising,6759.76,2024-01-24
R1091,Recruiter Time,5206.49,2024-10-03
R1142, Agency Fee,2170.91,2024-03-18
R1029,Adveertising,3322.88,2024-04-22
R1034,Assessment Tools,2468.24,2024-12-13
R1085,Agency Fee ,6107.63,2024-10-15
R1142,Assessment Tools,2789.24,2024-10-16
R1047,ADVERTISING,4869.33,2024-10-30
R1108,REFERRAL BONUS,3343.36,2024-04-28
R1061,AGENCY FEE,6439.51,2024-12-21
R1036,Agency Fee ,3023.67,2024-04-05
R1019,Referraal Bonus,7871.44,2024-01-13
R1032,Advertising,1181.92,2024-06-25
R1041,Recruiter Time,1693.18,2024-08-08
R1043,ADVERTISING,819.94,2024-09-25
R1031,Assessment Tools,5865.48,2024-12-17
R1093,assessment tools,3639.76,2024-02-27
R1128,Agency fee,4423.59,2024-06-19
R1140,assessment tools,5923.54,2024-06-09
R1145,Agency Fee,1589.59,2024-12-19
R1024,Agency Fee,5757.99,2024-06-22
R1060,Agency fee,817.2,2024-07-11
R1039,Assessment Tools,7223.95,2024-09-17
R1070, Referral Bonus,6969.99,2024-12-02
R1024,ASSESSMENT TOOLS,1594.53,2024-09-01
R1041,Advertising,1667.77,2024-04-19
R1075,ASSESSMENT TOOLS,5114.59,2024-04-27
R1034,Recruiter Time,2240.11,2024-05-22
R1071, Agency Fee,5342.22,2024-03-08
R1134,advertising,3545.24,2024-07-03
R1147,Assessment tools,5698.48,2024-12-10
R1032,ADVERTISING,578.09,2024-04-16
R1012,REFERRAL BONUS,1986.43,2024-03-08
R1033,Agency Fee,3065.65,2024-03-06
R1026,Recruiter Time ,5827.46,2024-01-22
R1033,assessment tools,3518.05,2024-01-25
R1104,Reeferral Bonus,1817.22,2024-12-15
R1014,Referral bonus,7498.75,2024-08-13
R1116,Agency Fee ,3363.7,2024-10-26
R1024,Assessment tools,1316.55,2024-02-06
R1005,recruiter time,3500.97,2024-12-17
R1018, Agency Fee,3211.52,2024-11-07
R1010,Recruiter time,1218.85,2024-01-15
R1067, Recruiter Time,814.98,2024-07-17
R1100,RECRUITER TIME,4669.67,2024-04-13
R1030,Agency Fee,407.74,2024-01-29
R1093,Agency Fee ,7760.06,2024-08-01
R1100,Agency Fee,3250.37,2024-12-24
R1100,recruiter time,4691.53,2024-07-20
R1092,Referral Bonus,2634.61,2024-05-26
R1065,Referral Bonus,3695.51,2024-08-08
R1100, Recruiter Time,4955.88,2024-04-06
R1057,Asseessment Tools,2947.18,2024-06-03
R1096,Recruiter Time,1761.25,2024-03-27
R1098,Reecruiter Time,7091.89,2024-03-01
R1022,REFERRAL BONUS,2269.09,2024-07-29
R1035,Referral Bonus ,2352.47,2024-03-18
R1025,Assessment Tools,4410.27,2024-09-09
R1025,Asseessment Tools,1435.9,2024-05-02
R1079,Adveertising,2330.26,2024-04-12
R1143,Referral bonus,7132.68,2024-05-24
R1117,Recruiter Time ,5433.67,2024-07-05
R1136,Recruiter time,2190.52,2024-04-13
R1008,recruiter time,905.88,2024-07-06
R1135,Ageency Fee,515.52,2024-05-16
R1094,Ageency Fee,7354.26,2024-10-15
R1068,Agency Fee ,6429.71,2024-07-24
R1068,Referral bonus,3075.79,2024-05-02
R1111,Referraal Bonus,7931.69,2024-05-18
R1100,Ageency Fee,7709.52,2024-02-02
R1110, Recruiter Time,1273.84,2024-03-31
R1087,Referral Bonus ,470.37,2024-12-23
R1002,Assessment Tools ,7424.76,2024-11-12
R1078,assessment tools,6573.7,2024-04-04
R1102,ASSESSMENT TOOLS,2787.84,2024-07-09
R1147,Ageency Fee,2626.07,2024-08-16
R1046,Advertising,404.31,2024-05-21
R1034,Recruiter Time ,6282.28,2024-10-28
R1030,REFERRAL BONUS,3263.01,2024-05-26
R1013,Referral bonus,2208.16,2024-03-21
R1106, Advertising,6280.99,2024-06-07
R1054,Advertising,4662.6,2024-04-22
R1117,recruiter time,7700.09,2024-12-14
R1004,advertising,4116.75,2024-09-28
R1091,RECRUITER TIME,7475.79,2024-02-10
R1094,Assessment Tools,1011.31,2024-10-12
R1071,REFERRAL BONUS,1910.19,2024-12-02
R1071,Reecruiter Time,7146.69,2024-09-15
R1117, Referral Bonus,6799.89,2024-11-29
R1127,advertising,4128.59,2024-11-25
R1041,Adveertising,6434.07,2024-03-16
R1056,Agency Fee,3787.84,2024-10-22
R1110,Agency Fee ,3431.88,2024-04-09
R1119,advertising,2445.66,2024-02-01
R1011,REFERRAL BONUS,6565.27,2024-10-01
R1016,Advertising ,2806.22,2024-09-22
R1011,Advertising,7389.97,2024-09-04
R1045,recruiter time,2680.75,2024-06-12
R1118,recruiter time,3575.75,2024-11-05
R1077,recruiter time,6223.14,2024-04-21
R1101,assessment tools,4106.7,2024-03-25
R1008,recruiter time,1825.49,2024-11-14
R1088,REFERRAL BONUS,4289.35,2024-07-19
R1045,ADVERTISING,4732.22,2024-11-19
R1124,Recruiter Time ,1284.22,2024-07-10
R1090,Recruiter time,1442.36,2024-03-18
R1113,Recruiter time,7180.89,2024-11-04
R1044, Advertising,3099.65,2024-08-30
R1056,Referral bonus,1294.86,2024-08-04
